Id,tipo_moradia,localizacao,andares,nota_casa,ano_contrucao,banheiros,vagas_garagem,cozinhas,banheiros,tamanho(em pés quadrados),tamanho lote (n útil)
1461,Densidade Residencial Alta,NAmes,1 andar,6,1961,2,1.0,1,1.0,896,11622
1462,Densidade Residencial Baixa,NAmes,1 andar,6,1958,3,1.0,1,2.0,1329,14267
1463,Densidade Residencial Baixa,Gilbert,2 andares,5,1997,3,2.0,1,3.0,1629,13830
1464,Densidade Residencial Baixa,Gilbert,2 andares,6,1998,3,2.0,1,3.0,1604,9978
1465,Densidade Residencial Baixa,Stone Brook,1 andar,5,1992,2,2.0,1,2.0,1280,5005
1466,Densidade Residencial Baixa,Gilbert,2 andares,5,1993,3,2.0,1,3.0,1655,10000
1467,Densidade Residencial Baixa,Gilbert,1 andar,7,1992,3,2.0,1,3.0,1187,7980
1468,Densidade Residencial Baixa,Gilbert,2 andares,5,1998,3,2.0,1,3.0,1465,8402
1469,Densidade Residencial Baixa,Gilbert,1 andar,5,1990,2,2.0,1,3.0,1341,10176
1470,Densidade Residencial Baixa,NAmes,1 andar,5,1970,2,2.0,1,2.0,882,8400
1471,Densidade Residencial Alta,NAmes,1 andar,5,1999,2,2.0,1,3.0,1337,5858
1472,Densidade Residencial Média,Briardale,2 andares,5,1971,2,1.0,1,2.0,987,1680
1473,Densidade Residencial Média,Briardale,2 andares,5,1971,3,1.0,1,2.0,1092,1680
1474,Densidade Residencial Baixa,Northpark Villa,2 andares,6,1975,3,2.0,1,3.0,1456,2280
1475,Densidade Residencial Baixa,Northpark Villa,1 andar,6,1975,2,1.0,1,1.0,836,2280
1476,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2009,3,3.0,1,3.0,2334,12858
1477,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2009,3,3.0,1,2.0,1544,12883
1478,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,3,3.0,1,2.0,1698,11520
1479,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,3,3.0,1,2.0,1822,14122
1480,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,3,3.0,1,4.0,2696,14300
1481,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2002,3,3.0,1,4.0,2250,13650
1482,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,2,2.0,1,2.0,1370,7132
1483,Densidade Residencial Baixa,Gilbert,1 andar,5,2005,3,2.0,1,2.0,1324,18494
1484,Densidade Residencial Baixa,Bloomington Heights,1 andar,5,2006,2,2.0,1,2.0,1145,3203
1485,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,4.0,1374,13300
1486,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,3.0,1733,8577
1487,Densidade Residencial Baixa,Northridge,2 andares,5,1998,4,3.0,1,3.0,2475,17433
1488,Densidade Residencial Baixa,Somerset,1 andar,5,2005,2,3.0,1,2.0,1595,8987
1489,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2009,2,2.0,1,2.0,1218,9215
1490,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2005,2,2.0,1,3.0,1468,10440
1491,Densidade Residencial Baixa,Sawyer West,2 andares,5,2004,3,2.0,1,3.0,1659,11920
1492,Densidade Residencial Alta,Sawyer West,1 andar,5,1920,2,1.0,1,1.0,1012,9800
